word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
referendum,noun,The local authorities agreed to hold a referendum on the issue in May.,,當地政府同意在五月舉行公民投票來決定這個問題。,公民投票；請示書,,,referendum 指把公共議題交由公民投票決定；複數為 referendums。,231,,3
reform,verb/noun,People firmly demand to reform social abuses. The people's request for reforms must be made to the education system.,,人們強烈要求革除社會弊端。人們要求對教育體制進行改革。,改革；改良；改造,change; convert,stabilize,re + form，表示重新塑造，引申為改革、改良。,231,,5
refute,verb,Joan's argument can not be refuted at the moment.,,瓊的這一論點時下還無法駁斥。,駁斥；反駁；駁倒,confute; disprove,support; approve,refute 指用證據或論證駁倒。,231,,5
regulation,noun,It's wrong of anyone to get around the regulation.,,任何人存心逃避規章制度都是不對的。,規則；規章,rule; ordinance,,regulation 指規則、規章或管理制度。,231,,5
rehabilitate,verb,The accident prompted Hill to rehabilitate his insurance.,,這件意外事故促使希爾恢復投保。,修復；恢復（職位等）,renew; reinstate,,rehabilitate 表修復、復原或使恢復原有地位。,231,,5
reimbursement,noun,The bank has been pressing Tony for reimbursement of the loan.,,銀行催促湯尼償還貸款。,償還；賠償,repayment; refund,,reimburse 表償還、補償，-ment 為名詞字尾。,231,,4
relapse,verb/noun,"Juan kept off smoking for a few days, but now he has relapsed. Daniel had a relapse and died soon after.",,胡安戒菸三天，可是現在又恢復抽菸。丹尼爾舊病復發，不久就死去了。,舊病復發；再惡化,regress; return,,re + lapse，表示回到先前不良狀態，可作動詞或名詞。,231,,5
relieve,verb,The doctor told me this medicine would relieve my headache.,,醫生說這藥將減輕我的頭痛。,減輕；救濟；解除,free; release,worry; aggravate,"relieve 表減輕痛苦、解除負擔；三態 relieve, relieved, relieved。",232,,4
reluctant,adjective,This young man was very reluctant to help others.,,這個年輕人不太願意幫助別人。,勉強的；不情願的,unwilling; adverse,willing,reluctant 常接 to V，表示不願意做某事；比較級 more reluctant。,232,,5
remain,verb,My friends remain in Beijing until June.,,我的朋友們在北京一直待到六月。,剩下；保持,last; persist; stay,depart; leave; perish,"remain 表留下、保持；動詞三態 remain, remained, remained。",232,,5
remind,verb,This picture reminds me of my hometown.,,這幅圖畫使我想起我的家鄉。,提醒；使想起,caution; notify,forget,remind 常用 remind A of B，表示使 A 想起 B。,232,,5
remuneration,noun,A postman's remuneration is £150 per week.,,郵差的報酬為每週一百五十英鎊。,報酬,salary; earnings,,remuneration 指工作或服務所得的報酬。,232,,5
renewal,noun,Our manager is very delighted at the renewal of negotiation.,,我們經理對談判能重新開始感到很高興。,更新；革新；復興,renaissance,,re + new + al，表示重新更新的過程。,232,,5
renovation,noun,The entire fabric of the old library needs renovation.,,這座舊圖書館的全部結構需要維修翻新。,更新；修理；修繕,restoration,,renovation 指翻修、整修或更新。,232,,5
