word,example,中文,同義字,祕段落,頁碼,難度
abandoned,"The man who lived an abandoned life was despised by his family.",被拋棄的；放蕩的,deserted; desolate,"字根 band 表示『禁止』；a- 有『不』之意，合起來可聯想為不受禁止、恣意放蕩，並引申為被放棄的。",12,3
abbreviate,"The teacher highly recommended the books of abbreviated version to his students.",縮寫；使簡略,abridge; condense; amplify; lengthen,"字首 ab- 有『離去』之意，字根 brev 表『短』，-iate 為動詞字尾，合起來就是使內容變短。",12,5
abbreviation,"All abbreviations used in this essay are to be explained.",縮寫；縮寫字,abstract; compendium,"由 abbreviate 去掉字尾 e 加上 -ion 形成名詞，表示縮寫或縮寫字。",12,4
abide,"If you want to play the game, you must abide by the rules.",忍受；停留；遵守,endure; stay; depart; leave,"字首 a- 可表『加強』，字根 bide 表『居住、停留』，引申為容忍、遵守。",12,4
abolish,"According to the latest survey, most people think the death penalty should not be abolished.",廢除；廢止；徹底破壞,abate; cancel; establish,"字首 ab- 表『相反』，-olish 可聯想到 polish（使光滑、磨掉），合起來引申為徹底廢除。",12,3
abortion,"She came to this state to go through voluntary abortion, which is legal here.",流產；墮胎,miscarriage,"字首 ab- 表『相反、離去』，字根 ort 表『升起、開始』，-ion 為名詞字尾，聯想為生命不再開始而中止。",12,5
absent-minded,"The absent-minded professor lost his wallet again.",心不在焉的；健忘的,unconscious; attentive; wide-awake,"absent 表『不在場的』，minded 表『有某種心思的』，合起來表示心思不在當下。",12,4
abstraction,"He noticed there was an air of abstraction on her face.",抽象；出神；提取,withdrawal; contraction,"字首 abs- 表『離開』，字根 tract 表『拉、抽取』，-ion 為名詞字尾，合起來為抽離、提取，並引申為抽象。",12,4
absurd,"You can disagree with her suggestion but it was impolite of you to say it was absurd.",荒唐的；不合理的；可笑的,ridiculous; unreasonable,"字首 ab- 表『離開』，surd 表『聾的』，可聯想為離開正常人的理智，荒唐得像聽不進話。",12,3
abundance,"Thanks to the fine weather, there was an abundance of rice last year.",豐富；充足；大量,copiousness; shortage,"由動詞 abound（充滿）去掉字尾再加 -ance 形成名詞，表示豐富、充足。",13,5
abundant,"The country is abundant in crude iron but still has to import some from other countries.",豐富的；充裕的,ample; exuberant; few; short,"字根 und 表『波浪』，-ant 為形容詞字尾；一波接一波，像豐富到滿溢。",13,5
accelerate,"Time was running out; therefore he accelerated the car.",增加；使加速；促進,speed up; quicken; decelerate; retard,"字首 ac- 表『加強』，字根 celer 表『速度』，-ate 為動詞字尾，合起來就是加快速度。",13,3
accessible,"Please keep the medicine in a place which is not accessible to children.",可接近的；可進入的；可使用的,available; reachable; inaccessible,"access 表『進入、接近』，-ible 表『可以……的』，因此為可進入、可接近或可使用的。",13,5
acclaim,"They acclaimed him king but he refused.",歡呼；擁立；宣佈,applaud; cheer,"字首 ac- 表『對著』，claim 表『呼喊』；對著某人歡呼，因而有喝采、擁立之意。",13,4
